x-axis,1,2,3
second,Volt,Volt,Volt
+22.000E-03,+707.035E-03,-201.005E-03,-201.005E-03
+23.200E-03,-136.683E-03,-238.693E-03,-389.447E-03
+24.400E-03,-79.899E-03,+0.0E+00,-201.005E-03
+25.600E-03,+23.618E-03,+0.0E+00,+0.0E+00
+26.800E-03,-32.161E-03,-77.889E-03,-201.005E-03
+28.000E-03,+15.578E-03,+0.0E+00,+0.0E+00
+29.200E-03,+15.578E-03,-80.402E-03,-188.442E-03
+30.400E-03,-24.121E-03,-77.889E-03,-201.005E-03
+31.600E-03,-15.578E-03,-40.201E-03,+0.0E+00
+32.800E-03,-23.618E-03,-40.201E-03,+0.0E+00
+34.000E-03,-15.578E-03,-40.201E-03,-389.447E-03
+35.200E-03,-16.080E-03,+0.0E+00,-201.005E-03
+36.400E-03,+0.0E+00,+0.0E+00,-389.447E-03
+37.600E-03,+7.538E-03,-77.889E-03,-201.005E-03
+38.800E-03,-32.161E-03,-40.201E-03,-201.005E-03
+40.000E-03,+8.040E-03,+0.0E+00,-188.442E-03
+41.200E-03,-48.241E-03,-120.603E-03,-201.005E-03
+42.400E-03,-160.302E-03,+80.402E-03,-201.005E-03
+43.600E-03,+442.211E-03,+359.296E-03,-201.005E-03
+44.800E-03,+7.538E-03,-359.296E-03,-188.442E-03
+46.000E-03,-136.181E-03,-37.688E-03,+0.0E+00
+47.200E-03,+24.121E-03,+0.0E+00,-188.442E-03
+48.400E-03,-24.121E-03,-77.889E-03,+0.0E+00
+49.600E-03,-8.040E-03,-40.201E-03,-201.005E-03
+50.800E-03,+23.618E-03,-40.201E-03,+0.0E+00
+52.000E-03,-24.121E-03,+0.0E+00,+0.0E+00
+53.200E-03,+15.578E-03,-40.201E-03,+0.0E+00
+54.400E-03,+7.538E-03,-80.402E-03,-389.447E-03
+55.600E-03,+16.080E-03,-37.688E-03,-188.442E-03
+56.800E-03,+8.040E-03,-37.688E-03,-389.447E-03
+58.000E-03,-8.040E-03,-40.201E-03,-201.005E-03
+59.200E-03,+8.040E-03,-40.201E-03,-201.005E-03
+60.400E-03,-23.618E-03,-40.201E-03,-201.005E-03
+61.600E-03,+0.0E+00,+0.0E+00,+0.0E+00
+62.800E-03,+7.538E-03,-40.201E-03,-201.005E-03
+64.000E-03,-136.683E-03,+40.201E-03,-201.005E-03
+65.200E-03,+88.442E-03,+361.809E-03,-201.005E-03
+66.400E-03,+136.181E-03,-402.010E-03,-201.005E-03
+67.600E-03,-136.181E-03,-118.090E-03,+0.0E+00
+68.800E-03,-23.618E-03,+0.0E+00,-188.442E-03
+70.000E-03,-7.538E-03,-40.201E-03,-188.442E-03
+71.200E-03,-31.658E-03,-37.688E-03,-201.005E-03
+72.400E-03,+8.040E-03,+0.0E+00,+0.0E+00
+73.600E-03,-8.040E-03,-80.402E-03,+0.0E+00
+74.800E-03,-24.121E-03,-40.201E-03,-389.447E-03
