tau/s;U/mV
0.0001;-950
0.0002;-906.25
0.0005;-1025
0.0010;-962.5
0.0015;-975
0.0016;-925
0.002;-906.25
0.005;-968.75
0.01;-987.5
0.02;-875
0.016;-887.5
0.05;-925
0.1;-868.75
0.16;-715
0.2;-685
0.5;-612.5
1;-312.5
1.6;-48.75
2;98.75
5;606.25
9;887.5
