x-axis,1,2,3
second,Volt,Volt,Volt
+8.200E-06,+5.025126E-03,-2.512563E-03,-201.005027E-03
+10.300E-06,+8.040201E-03,+0.0E+00,-201.005027E-03
+12.400E-06,+8.040201E-03,+5.025126E-03,-201.005027E-03
+14.500E-06,+1.005025E-03,+6.532663E-03,-201.005027E-03
+16.600E-06,+8.040201E-03,+5.025126E-03,-125.628142E-03
+18.700E-06,+1.005025E-03,+8.040201E-03,-25.125628E-03
+20.800E-06,+10.552764E-03,+0.0E+00,-125.628142E-03
+22.900E-06,+6.532663E-03,+0.0E+00,-25.125628E-03
+25.000E-06,+0.0E+00,+8.040201E-03,-201.005027E-03
+27.100E-06,+8.040201E-03,-5.025126E-03,-201.005027E-03
+29.200E-06,+8.040201E-03,+5.025126E-03,-201.005027E-03
+31.300E-06,-22.613065E-03,-6.532663E-03,-163.316584E-03
+33.400E-06,+519.597984E-03,+74.874371E-03,-201.005027E-03
+35.500E-06,+530.653261E-03,+119.095476E-03,-201.005027E-03
+37.600E-06,+509.045221E-03,+120.603014E-03,-326.633168E-03
+39.700E-06,+468.844216E-03,+129.648240E-03,-201.005027E-03
+41.800E-06,+447.236176E-03,+117.587938E-03,-326.633168E-03
+43.900E-06,+419.095473E-03,+121.608039E-03,-163.316584E-03
+46.000E-06,+382.914569E-03,+107.035175E-03,-125.628142E-03
+48.100E-06,+361.809041E-03,+111.055275E-03,-226.130655E-03
+50.200E-06,+329.648238E-03,+112.562813E-03,-201.005027E-03
+52.300E-06,+313.567836E-03,+121.608039E-03,-226.130655E-03
+54.400E-06,+270.351756E-03,+115.075376E-03,-125.628142E-03
+56.500E-06,+258.291455E-03,+120.603014E-03,-201.005027E-03
+58.600E-06,+230.150751E-03,+104.522612E-03,+0.0E+00
+60.700E-06,+193.969847E-03,+104.522612E-03,-201.005027E-03
+62.800E-06,+184.924621E-03,+107.035175E-03,-263.819098E-03
+64.900E-06,+152.763817E-03,+94.974873E-03,-201.005027E-03
+67.000E-06,+125.628139E-03,+88.442210E-03,-201.005027E-03
+69.100E-06,+121.608039E-03,+88.442210E-03,-201.005027E-03
+71.200E-06,+93.467336E-03,+74.874371E-03,-125.628142E-03
+73.300E-06,+73.366833E-03,+57.286432E-03,-201.005027E-03
+75.400E-06,+50.753768E-03,+48.241206E-03,-201.005027E-03
+77.500E-06,+32.160804E-03,+48.241206E-03,-201.005027E-03
+79.600E-06,+32.160804E-03,+42.713567E-03,-62.814071E-03
+81.700E-06,+16.080402E-03,+48.241206E-03,-201.005027E-03
+83.800E-06,+2.512563E-03,+26.633166E-03,-201.005027E-03
+85.900E-06,+0.0E+00,+16.080402E-03,-163.316584E-03
+88.000E-06,-32.160804E-03,+16.080402E-03,-201.005027E-03
+90.100E-06,-42.713567E-03,-6.532663E-03,-25.125628E-03
+92.200E-06,-58.793969E-03,+2.512563E-03,-201.005027E-03
+94.300E-06,-41.206030E-03,-16.080402E-03,-201.005027E-03
+96.400E-06,-53.266331E-03,-26.633166E-03,+0.0E+00
+98.500E-06,-81.407034E-03,-32.160804E-03,-364.321611E-03
+100.600E-06,-98.994974E-03,-45.226130E-03,-62.814071E-03
+102.700E-06,-81.407034E-03,-40.201005E-03,-201.005027E-03
+104.800E-06,-96.482411E-03,-50.753768E-03,-201.005027E-03
+106.900E-06,-94.974873E-03,-62.814070E-03,-226.130655E-03
+109.000E-06,-88.442210E-03,-56.281406E-03,-201.005027E-03
+111.100E-06,-89.447235E-03,-62.814070E-03,-201.005027E-03
+113.200E-06,-77.386934E-03,-72.361808E-03,-201.005027E-03
+115.300E-06,-103.015074E-03,-78.894472E-03,-62.814071E-03
+117.400E-06,-98.994974E-03,-77.386934E-03,-201.005027E-03
+119.500E-06,-89.447235E-03,-81.407034E-03,-201.005027E-03
+121.600E-06,-104.522612E-03,-85.427135E-03,-62.814071E-03
+123.700E-06,-72.361808E-03,-88.442210E-03,-226.130655E-03
+125.800E-06,-98.994974E-03,-88.442210E-03,-201.005027E-03
+127.900E-06,-96.482411E-03,-70.854271E-03,+0.0E+00
+130.000E-06,-90.954773E-03,-74.874371E-03,-62.814071E-03
+132.100E-06,-86.934672E-03,-81.407034E-03,-25.125628E-03
+134.200E-06,-101.507537E-03,-80.402009E-03,-201.005027E-03
